"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"GenLog: Accurate Log Template Discovery for Stripped X86 Binaries","M. Zhang; Y. Zhao; Z. He","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Res. Inst. of Tsinghua Univ. in Shenzhen, Shenzhen, China","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","11 Sep 2017","2017","1","","337","346","Log analysis plays an important role for computer failure diagnosis. With the ever increasing size and complexity of logs, the task of analyzing logs has become cumbersome to carry out manually. For this reason, recent research has focused on automatic analysis techniques for large log files. However, log messages are texts with certain formats and it is very challenging for automatic analysis to understand the semantic meanings of log messages. The current state-of-the-art approaches depend on the quality of observed log messages or source code producing these log messages. In this paper, we propose a method GenLog that can extract log templates from stripped executables (neither source code nor debugging information need to be available). GenLog finds all log related functions in a binary through a combined bottom-up and top down slicing method, reconstructs the memory buffers where log messages were constructeStripped X86 Binaries d, and identifies components of log messages using data flow analysis and taint propagation analysis. GenLog can be used to analyze large binary code, and is suitable for commercial off-the-shelf (COTS) software or dynamic libraries. We evaluated GenLog on four X86 executables and one of them is Nginx. The experiments show that GenLog can identify the template for log messages in testing log files with a precision of 99.9%.","0730-3157","978-1-5386-0367-3","10.1109/COMPSAC.2017.137","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8029626","","Binary codes;Software;IP networks;Data mining;Reactive power;Semantics;Production","data flow analysis;program debugging;program slicing;program testing;software fault tolerance;source code (software)","GenLog;log analysis;log template discovery;stripped X86 binaries;computer failure diagnosis;source code;log templates extraction;bottom-up slicing method;top down slicing method;memory buffers reconstruction;binary code analysis;log files testing;data flow analysis;taint propagation analysis","","1","","40","","11 Sep 2017","","","IEEE","IEEE Conferences"
"ICAS: An inter-VM IDS Log Cloud Analysis System","S. Yang; W. Chen; Y. Wang","Free Software Laboratory of National Center for High-Performance Computing, Taichung, Taiwan, China; Free Software Laboratory of National Center for High-Performance Computing, Taichung, Taiwan, China; Free Software Laboratory of National Center for High-Performance Computing, Taichung, Taiwan, China","2011 IEEE International Conference on Cloud Computing and Intelligence Systems","13 Oct 2011","2011","","","285","289","Cloud computing can reduce mainframe management costs, so more and more users choose to build their own cloud hosting environment. In cloud computing, all the commands through the network connection, therefore, information security is particularly important. In this paper, we will explore the types of intrusion detection systems, and integration of these types, provided an effective and output reports, so system administrators can understand the attacks and damage quickly. With the popularity of cloud computing, intrusion detection system log files are also increasing rapidly, the effect is limited and inefficient by using the conventional analysis system. In this paper, we use Hadoop's MapReduce algorithm analysis of intrusion detection System log files, the experimental results also confirmed that the calculation speed can be increased by about 89%. For the system administrator, IDS Log Cloud Analysis System (called ICAS) can provide fast and high reliability of the system.","2376-595X","978-1-61284-204-2","10.1109/CCIS.2011.6045076","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6045076","Hadoop;IDS;MapReduce;Cloud Computing","Cloud computing;Intrusion detection;Computer architecture;File systems;Correlation;Monitoring","cloud computing;security of data;virtual machines","ICAS;interVM IDS log cloud analysis system;cloud computing;mainframe management cost reduction;cloud hosting environment;information security;intrusion detection system log files;conventional analysis system;Hadoop MapReduce algorithm analysis","","12","","23","","13 Oct 2011","","","IEEE","IEEE Conferences"
"DRAT: An Unobtrusive, Scalable Approach to Large Scale Software License Analysis","C. A. Mattmann; J. Oh; T. Palsulich; L. J. McGibbney; Y. Gil; V. Ratnakar","Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA; Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA; Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA; Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA; Comput. Sci. Dept., Univ. of Southern California, Los Angeles, CA, USA; USC Inf. Sci. Inst., Univ. of Southern California, Marina Del Rey, CA, USA","2015 30th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW)","7 Mar 2016","2015","","","97","101","The Apache Release Audit Tool (RAT) performs software open source license auditing and checking, however RAT fails to successfully audit today's large code bases. Being a natural language processing (NLP) tool and a crawler, RAT marches through a code base, but uses rudimentary black lists and white lists to navigate source code repositories, and often does a poor job of identifying source code versus binary files. In addition RAT produces no incremental output and thus on code bases that themselves are ""Big Data"", RAT could run for e.g., a month and still not provide any status report. We introduce Distributed ""RAT"" or the Distributed Release Audit Tool (DRAT). DRAT overcomes RAT's limitations by leveraging: (1) Apache Tika to automatically detect and classify files in source code repositories and determine what is a binary file, what is source code, what are notes that need skipping, etc. (2) Apache Solr to interactively perform analytics on a code repository and to extract metadata using Apache Tika, and finally (3) Apache OODT to run RAT on per-MIME type (e.g., C/C++, Java, Javascript, etc.) and per configurable K-file sized chunks in a MapReduce workflow. Each Mapper task is an instance of RAT running on a K-file sized per Multipurpose Internet Mail Extensions (MIME) type chunk (split using Tika) and each mapper produces and incremental and intermediate log file, and where the Reducer aggregates the individual log files.","","978-1-4673-9775-9","10.1109/ASEW.2015.14","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7426645","DRAT;Open source;Software license auditing","Licenses;Metadata;Open source software;Java;Open systems;Government","meta data;pattern classification;software engineering;software reviews;source code (software)","Multipurpose Internet Mail Extensions;MapReduce workflow;per-MIME type;Apache OODT;metadata extraction;code repository analytics;Apache Solr;binary file;source code repositories;file detection;file classification;Apache Tika;DRAT;Distributed Release Audit Tool;large scale software license analysis","","","","12","","7 Mar 2016","","","IEEE","IEEE Conferences"
"Characterizing Direct Monitoring Techniques in Software Systems","M. Cinque; D. Cotroneo; R. D. Corte; A. Pecchia","Dipartimento di Ingegneria Elettrica e delle Tecnologie dell’Informazione, Università degli Studi di Napoli Federico II, Napoli, Italy; Dipartimento di Ingegneria Elettrica e delle Tecnologie dell’Informazione, Università degli Studi di Napoli Federico II, Napoli, Italy; Dipartimento di Ingegneria Elettrica e delle Tecnologie dell’Informazione, Università degli Studi di Napoli Federico II, Napoli, Italy; Dipartimento di Ingegneria Elettrica e delle Tecnologie dell’Informazione, Università degli Studi di Napoli Federico II, Napoli, Italy","IEEE Transactions on Reliability","29 Nov 2016","2016","65","4","1665","1681","Monitoring is a consolidated practice to characterize the dependability behavior of a software system. A variety of techniques, such as event logging and operating system probes, are currently used to generate monitoring data for troubleshooting and failure analysis. In spite of the importance of monitoring, whose role can be essential in critical software systems, there is a lack of studies addressing the assessment and the comparison of the techniques aiming to monitor the occurrence of failures during operations. This paper proposes a method to characterize the monitoring techniques implemented in a software system. The method is based on a fault injection approach and allows measuring 1) precision and recall of a monitoring technique and 2) the dissimilarity of the data it generates upon failures. The method has been used in two critical software systems implementing event logging, assertion checking, and source code instrumentation techniques. We analyzed a total of 3 844 failures. With respect to our data, we observed that the effectiveness of a technique is strongly affected by the system and type of failure, and that the combination of different techniques is potentially beneficial to increase the overall failure reporting ability. More important, our analysis revealed a number of practical implications to be taken into account when developing a monitoring technique.","1558-1721","","10.1109/TR.2016.2570564","NAPOLI FUTURA Start-up Project; Italian Ministry of Education; University and Research; MINIMINDS PON; ","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7493640","Assertion checking;code instrumentation;critical systems;event logging;monitoring;software faults","Monitoring;Software systems;Runtime;Measurement;Probes","software reliability;system recovery","characterizing direct monitoring techniques;software systems;dependability behavior;data monitoring;failure analysis;troubleshooting analysis;critical software systems;monitoring techniques;fault injection approach;two critical software systems;assertion checking;source code instrumentation techniques;event logging;failure reporting ability;software reliability","","10","","49","","16 Jun 2016","","","IEEE","IEEE Journals"
"A Qualitative Study of the Benefits and Costs of Logging from Developers' Perspectives","H. Li; W. Shang; B. Adams; M. Sayagh; A. E. Hassan","School of Computing, Queen's University, Kingston, Ontario Canada (e-mail: hengli@cs.queensu.ca); Department of Computer Science and Software Engineering, Concordia University, Montreal, Quebec Canada (e-mail: shang@encs.concordia.ca); Genie Informatique et Genie Logiciel, Ecole Polytechnique de Montreal, Montreal, Quebec Canada H3T 1J4 (e-mail: bram.adams@polymtl.ca); School of Computing, Queen's University, 4257 Kingston, Ontario Canada (e-mail: msayagh@cs.queensu.ca); School of Computing, Queen's University, Kingston, Ontario Canada (e-mail: ahmed@cs.queensu.ca)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Software developers insert logging statements in their source code to collect important runtime information of software systems. In practice, logging appropriately is a challenge for developers. Prior studies aimed to improve logging by proactively inserting logging statements in certain code snippets or by learning where to log from existing logging code. However, there exists no work that systematically studies developers' logging considerations, i.e., the benefits and costs of logging from developers' perspectives. Without understanding developers' logging considerations, automated approaches for logging decisions are based primarily on researchers' intuition which may not be convincing to developers. In order to fill the gap between developers' logging considerations and researchers' intuition, we performed a qualitative study that combines a survey of 66 developers and a case study of 223 logging-related issue reports. The findings of our qualitative study draw a comprehensive picture of the benefits and costs of logging from developers' perspectives. We observe that developers consider a wide range of logging benefits and costs, while most of the uncovered benefits and costs have never been observed nor discussed in prior work. We also observe that developers use ad hoc strategies to balance the benefits and costs of logging. Developers need to be fully aware of the benefits and costs of logging, in order to better benefit from logging (e.g., leveraging logging to enable users to solve problems by themselves) and avoid unnecessary negative impact (e.g., exposing users' sensitive information). Future research needs to consider such a wide range of logging benefits and costs when developing automated logging strategies. Our findings also inspire opportunities for researchers and logging library providers to help developers balance the benefits and costs of logging, for example, to support different log levels for different parts of a logging statement, or to help developers estimate and reduce the negative impact of logging statements.","1939-3520","","10.1109/TSE.2020.2970422","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8976297","software logging;issue reports;developer survey;qualitative analysis","Runtime;Libraries;Tools;Software systems;Standards;Computational modeling","","","","2","","","","30 Jan 2020","","","IEEE","IEEE Early Access Articles"
"Quantifying the Effects of Contention on Parallel File Systems","S. A. Wright; S. A. Jarvis","Dept. of Comput. Sci., Univ. of Warwick, Coventry, UK; Dept. of Comput. Sci., Univ. of Warwick, Coventry, UK","2015 IEEE International Parallel and Distributed Processing Symposium Workshop","1 Oct 2015","2015","","","932","940","As we move towards the Exactable era of supercomputing, node-level failures are becoming more common-place, frequent check pointing is currently used to recover from such failures in long-running science applications. While compute performance has steadily improved year-on-year, parallel I/O performance has stalled, meaning check pointing is fast becoming a bottleneck to performance. Using current file systems in the most efficient way possible will alleviate some of these issues and will help prepare developers and system designers for Exactable, unfortunately, many domain-scientists simply submit their jobs with the default file system configuration. In this paper, we analyse previous work on finding optimality on Lustre file systems, demonstrating that by exposing parallelism in the parallel file system, performance can be improved by up to 49x. However, we demonstrate that on systems where many applications are competing for a finite number of object storage targets (OSTs), competing tasks may reduce optimal performance considerably. We show that reducing each job's request for OSTs by 40% decreases performance by only 13%, while increasing the availability and quality of service of the file system. Further, we present a series of metrics designed to analyse and explain the effects of contention on parallel file systems. Finally, we re-evaluate our previous work with the Parallel Log-structured File System (PLFS), comparing it to Lustre at various scales. We show that PLFS may perform better than Lustre in particular configurations, but that at large scale PLFS becomes a bottleneck to performance. We extend the metrics proposed in this paper to explain these performance deficiencies that exist in PLFS, demonstrating that the software creates high levels of self-contention at scale.","","978-1-4673-7684-6","10.1109/IPDPSW.2015.8","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7284412","Data storage systems;file servers;file systems;high performance computing;optimization;performance analysis;supercomputers","Bandwidth;File systems;Optimization;Quality of service;Measurement;Supercomputers","checkpointing;file organisation;parallel machines","parallel I-O performance;Lustre file system;object storage targets;OST;parallel log-structured file system;PLFS;checkpointing","","","","24","","1 Oct 2015","","","IEEE","IEEE Conferences"
"Characterizing the Natural Language Descriptions in Software Logging Statements","P. He; Z. Chen; S. He; M. R. Lyu","Shenzhen Research Institute, The Chinese University of Hong Kong,Shenzhen,China; Shenzhen Research Institute, The Chinese University of Hong Kong,Shenzhen,China; Shenzhen Research Institute, The Chinese University of Hong Kong,Shenzhen,China; Shenzhen Research Institute, The Chinese University of Hong Kong,Shenzhen,China","2018 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE)","17 Feb 2020","2018","","","178","189","The following topics are dealt with: program testing; program diagnostics; learning (artificial intelligence); program debugging; software maintenance; public domain software; formal verification; Java; Android (operating system); mobile computing.","2643-1572","978-1-4503-5937-5","10.1145/3238147.3238193","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=9000026","Logging;natural language processing;empirical study","","learning (artificial intelligence);program debugging;program diagnostics;program testing;software maintenance","program testing;program diagnostics;learning (artificial intelligence);program debugging;software maintenance;public domain software;formal verification;Java;Android (operating system);mobile computing","","2","","63","","17 Feb 2020","","","IEEE","IEEE Conferences"
"Towards a Knowledge Warehouse and Expert System for the Automation of SDLC Tasks","R. Kapur; B. Sodhi","Indian Institute of Technology Ropar, India.; Indian Institute of Technology Ropar, India.","2019 IEEE/ACM International Conference on Software and System Processes (ICSSP)","26 Aug 2019","2019","","","5","8","Cost of a skilled and competent software developer is high, and it is desirable to minimize dependency on such costly human resources. One of the ways to minimize such costs is via automation of various software development tasks. Recent advances in Artificial Intelligence (AI) and the availability of a large volume of knowledge bearing data at various software development related venues present a ripe opportunity for building tools that can automate software development tasks. For instance, there is significant latent knowledge present in raw or unstructured data associated with items such as source files, code commit logs, defect reports, comments, and so on, available in the Open Source Software (OSS) repositories. We aim to leverage such knowledge-bearing data, the latest advances in AI and hardware to create knowledge warehouses and expert systems for the software development domain. Such tools can help in building applications for performing various software development tasks such as defect prediction, effort estimation, code review, etc.","","978-1-7281-3393-5","10.1109/ICSSP.2019.00011","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8812829","Automated Software Engineering, Software Maintenance, Data Mining, Supervised Learning","Software;Feature extraction;Data mining;Task analysis;Tools;Estimation;Measurement","artificial intelligence;data mining;expert systems;public domain software;software development management;software quality","knowledge warehouse;expert system;SDLC tasks;skilled software developer;competent software developer;software development tasks;knowledge bearing data;software development related venues;Open Source Software repositories;knowledge-bearing data;software development domain;latent knowledge","","","","27","","26 Aug 2019","","","IEEE","IEEE Conferences"
"Non-Local Correction of Process Models Using Event Logs","A. A. Mitsyuk","PAIS Lab., Nat. Res. Univ., Moscow, Russia","2017 Ivannikov ISPRAS Open Conference (ISPRAS)","1 Feb 2018","2017","","","6","11","Information and software systems almost never stabilize after the release. They change, among other reasons, due to difficulties of implementation, bug repairs, and environmental shifts. Thus, their behavior differs from models, which were used at the design stage. Process owner usually wants relevant, up-to-date models. Fortunately, most modern information systems write detailed event logs of their functioning. In this paper, we describe an algorithm of non-local process correction, that employs the two fundamental algorithmic paradigms: “divide and conquer” and “greedy processing”. It decomposes the process model and repairs sub-models in a greedy way using event logs with actual behavior. Using this procedure, it is possible to correct both local and non-local inconsistencies. The paper considers the algorithm and the results of its experimental evaluation using several artificial examples.","","978-1-5386-1132-6","10.1109/ISPRAS.2017.00008","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8273290","process model repair;process model correction;event logs;WF-nets;process mining","Maintenance engineering;Biological system modeling;Petri nets;Information systems;Computational modeling;Economics;Software systems","data mining;divide and conquer methods;greedy algorithms;information systems;software maintenance","nonlocal inconsistencies;process models;event logs;software systems;bug repairs;environmental shifts;behavior differs;design stage;process owner;up-to-date models;modern information systems;nonlocal process correction;fundamental algorithmic paradigms;greedy processing;process model;actual behavior;divide and conquer algorithmic paradigm;submodel repair","","","","24","","1 Feb 2018","","","IEEE","IEEE Conferences"
"Lightweight searchable screen video recording","M. Marder; A. Geva; Y. Ruan",IBM Research-Haifa; IBM Research-Haifa; IBM Research-Thomas J Watson Research Center,"2012 Visual Communications and Image Processing","17 Jan 2013","2012","","","1","6","Command logging of maintenance and operation activities of modern computer systems has become an integral component of customer and audit requirements. In recent years, this logging has usually been achieved via desktop video recording. However, the conventional approach of video recording requires high computation overhead, high network bandwidth, and a large storage size. Searching through video files is also a challenge. In this paper, we present a lossy, but text text-preserving, compression scheme that meets these challenges by creating a sparse bitonal image suitable for optical character recognition (OCR). Using our system for auditing, the bitonal image gets stored on a server. Due to the mechanism's text-preserving compression, we can apply OCR off-line to create annotations of each video frame, making the output searchable. Compared to state-of-the-art compression of raw video, our approach can reduce file size by 50-80%, while using CPU and memory resources similar to other methods.","","978-1-4673-4407-4","10.1109/VCIP.2012.6410783","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6410783","Text segmentation;screen image;binarization;audit;screen recording;monitoring","Image coding;Image color analysis;Image edge detection;Servers;Switches;Optical character recognition software;Image segmentation","data compression;video coding;video recording","lightweight searchable screen video recording;command logging;computer systems;desktop video recording;compression scheme;sparse bitonal image;optical character recognition;auditing;text-preserving compression;state-of-the-art compression;raw video;CPU;memory resources","","2","1","18","","17 Jan 2013","","","IEEE","IEEE Conferences"
"Assessing and improving the effectiveness of logs for the analysis of software faults","M. Cinque; D. Cotroneo; R. Natella; A. Pecchia","Dipartimento di Informatica e Sistemistica, Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Naples, Italy; Dipartimento di Informatica e Sistemistica, Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Naples, Italy; Dipartimento di Informatica e Sistemistica, Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Naples, Italy; Dipartimento di Informatica e Sistemistica, Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Naples, Italy","2010 IEEE/IFIP International Conference on Dependable Systems & Networks (DSN)","9 Aug 2010","2010","","","457","466","Event logs are the primary source of data to characterize the dependability behavior of a computing system during the operational phase. However, they are inadequate to provide evidence of software faults, which are nowadays among the main causes of system outages. This paper proposes an approach based on software fault injection to assess the effectiveness of logs to keep track of software faults triggered in the field. Injection results are used to provide guidelines to improve the ability of logging mechanisms to report the effects of software faults. The benefits of the approach are shown by means of experimental results on three widely used software systems.","2158-3927","978-1-4244-7501-8","10.1109/DSN.2010.5544279","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5544279","","Open source software;Software systems;Computer networks;Guidelines;Supercomputers;Runtime;Computer crashes;Computer errors;Fault diagnosis;Web server","program verification;software fault tolerance","software faults analysis;event logs;computing system dependability;system outages;software fault injection;logging mechanisms","","16","1","24","","9 Aug 2010","","","IEEE","IEEE Conferences"
"Big data: Mining of log file through hadoop","B. Kotiyal; A. Kumar; B. Pant; R. H. Goudar","Computer Science Department, GEU University Bell Road; Information Technology Department, GEU University, Bell Road; Information Technology Department, GEU University, Bell Road; Computer Science Department, GEU University Bell Road","2013 International Conference on Human Computer Interactions (ICHCI)","1 Sep 2014","2013","","","1","7","The unremitting increase of computational strength has produced tremendous flow of data in the past two decades. This tremendous flow of data is known as “big data”. Big data is the data which cannot be processed with the aid of existing tools or techniques and if processed can result in interesting information's such as analysing the behaviour of the user, business intelligence etc. This paper discusses the difference between the traditional relational database and big data; it also shows the characteristics of big data. The paper also focuses on the distinct big data channels processes along with the various challenges and as well as on how big data is a solution to the organizations. Big data does not only focus to store and handle the large volume of data but also to analysed and extract the correct information from the data in lesser time span. At last it discusses about hadoop an open source framework that allows the distributed processing for massive datasets on cluster of computers which is shown with using the log file for extraction of information based on user query.","","978-1-4673-5703-6","10.1109/ICHCI-IEEE.2013.6887797","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6887797","Big Data;Web Log File;Hadoop;Hadoop Distributed File System;Distributed Processing;MapReduce","Big data;Organizations;Distributed databases;Data mining;Computers;Distributed processing","competitive intelligence;data handling;data mining;organisational aspects;public domain software;query processing;relational databases","log file mining;Hadoop;computational strength;business intelligence;relational database;big data channels;organizations;open source framework;information extraction;user query","","6","","13","","1 Sep 2014","","","IEEE","IEEE Conferences"
"Performance study on logging to another main memory database","X. Qin; X. Zhou","Key Laboratory of Data Engineering and Knowledge Engineering, School of Information, Renmin University of China, Beijing 100872, China; Department of Computer Science and Technology, Xuzhou Normal University, Jiangsu 221008, China","4th International Conference on New Trends in Information Science and Service Science","17 Jun 2010","2010","","","36","40","In update intensive main memory database applications, huge volume of log records is generated, to maintain the ACID properties of the database system, the log records should be persistent efficiently. Delegating logging of one main memory database to another main memory database is proposed. The scheme is elaborated in detail in terms of architecture, logging & safeness levels, checkpointing, and recovery. Strict durability and relax durability are provided. When some form of non-volatile memory is used to temporarily holding log records, not only logging efficiency is improved, but also the scheme could guarantee full ACID of the system. We also propose using parallel logging to speedup log persistence by writing logs to multiple disks in parallel. Since interconnection network techniques progress by leaps and bounds, the scheme eliminates the concern about whether the system's overall performance may be slowed down by bandwidth and latency limitations. Experiment results demonstrate the feasibility of the proposal.","","978-89-88678-17-6","","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5488503","main memory database;remote logging;parallel logging","Checkpointing;Database systems;Transaction databases;Network servers;Availability;Nonvolatile memory;Writing;Communication industry;Defense industry;Wood industry","checkpointing;data recording;database management systems;memory architecture;multiprocessor interconnection networks;random-access storage;software reliability;system monitoring","main memory database;log records;ACID properties;architecture;safeness levels;checkpointing;recovery;durability;nonvolatile memory;parallel logging;multiple disks;interconnection network techniques;system overall performance;bandwidth limitations;latency limitations","","","2","16","","17 Jun 2010","","","IEEE","IEEE Conferences"
"A system of job log analyzing for Hadoop","Zhao Xiaogang; Ding Ling; Ma Zhiqiang; Liu Xu","Department of software engineering, International School of Software, Wuhan University, China; Department of Computer Science and Technology, Xianning Colleage, China; Department of Electronics Information and Engineering, Henan Vocational College of Agriculture, Zhengzhou, China; Baidu Company, China","2012 International Conference on Information Management, Innovation Management and Industrial Engineering","25 Oct 2012","2012","3","","238","243","Handling the huge amount of history logs produced by Hadoop distributed computing platform is really a troublesome task and always these history files looks useless. But if we want find out the health degree of cluster platform we must analyze the huge history logs produced by the running jobs. It seems that a single-machine analyzing program cannot satisfy you because of its low speed, high demand of memory and CPU. In this thesis we tried to solve this problem in a distributed way with the Map/Reduce calculation model. We also built a data platform(hive and MySQL) to store these data. From the experiment we can see the distributed way to process log files get good performance when data log files are huge.","2155-1472","978-1-4673-1931-7","10.1109/ICIII.2012.6339963","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6339963","Hadoop;history log;Map/Reduce;distribute computing","History;Databases;Blogs","distributed processing;program diagnostics;SQL;storage management","job log analyzing system;history logs;Hadoop distributed computing platform;history files;health degree;cluster platform;running jobs;single-machine analyzing program;memory;CPU;distributed problem solving;Map/Reduce calculation model;a data platform;hive;MySQL;data storage;process log files;data log files","","1","","11","","25 Oct 2012","","","IEEE","IEEE Conferences"
"Discovering Hidden Errors from Application Log Traces with Process Mining","M. Cinque; R. Della Corte; A. Pecchia",Università degli Studi di Napoli Federico II; Università degli Studi di Napoli Federico II; Università degli Studi di Napoli Federico II,"2019 15th European Dependable Computing Conference (EDCC)","7 Nov 2019","2019","","","137","140","Over the past decades logs have been widely used for detecting and analyzing failures of computer applications. Nevertheless, it is widely accepted by the scientific community that failures might go undetected in the logs. This paper proposes a measurement study with a dataset of 3,794 log traces obtained from normative and failure runs of the Apache web server. We use process mining (i) to infer a model of the normative log behavior, e.g., presence and ordering of messages in the traces, and (ii) to detect failures within arbitrary traces by looking for deviations from the model (conformance checking). Analysis is done with the Integer Linear Programming (ILP) Miner, Inductive Miner and Alpha++ Miner algorithms. Our measurements indicate that, although only around 18% failure traces contain explicit error keywords and phrases, conformance checking allows detecting up to 87% failures at high precision, which means that most of the errors are hidden across the traces.","2641-810X","978-1-7281-3929-6","10.1109/EDCC.2019.00034","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8893303","process mining;application log;trace;software errors;testing","Web servers;Expert systems;Training;Integer linear programming;Measurement","data mining;file servers;integer programming;Internet;linear programming","normative log behavior;arbitrary traces;conformance checking;Integer Linear Programming Miner;Inductive Miner;Alpha++ Miner algorithms;explicit error keywords;hidden errors;application log traces;process mining;computer applications;scientific community;measurement study;Apache web server","","","","12","","7 Nov 2019","","","IEEE","IEEE Conferences"
"Knowledge extraction of the behaviour of software developers by the analysis of time recording logs","A. Peralta; F. P. Romero; J. A. Olivas; M. Polo","Department of Information Systems and Technologies, University of Castilla La Mancha, Paseo de la Universidad s/n, 13071 Ciudad Real, Spain; Department of Information Systems and Technologies, University of Castilla La Mancha, Paseo de la Universidad s/n, 13071 Ciudad Real, Spain; Department of Information Systems and Technologies, University of Castilla La Mancha, Paseo de la Universidad s/n, 13071 Ciudad Real, Spain; Department of Information Systems and Technologies, University of Castilla La Mancha, Paseo de la Universidad s/n, 13071 Ciudad Real, Spain","International Conference on Fuzzy Systems","23 Sep 2010","2010","","","1","8","Software development project management has a poor reputation in terms of avoiding cost and schedule overruns. The cause of this situation is based on the feature of the software development process that is characterized by quickly growing complexity and change. Therefore, there are many uncertainties to define exactly the necessary time to complete a tasks according to the person's performance. In this scenario Soft-Computing techniques may offer new approaches with the aim of helping the participants of the project to manage their time, give priority to their activities and readjust the work to complete satisfactorily the project tasks. This work presents an automatic features extraction process with the aim of defining the elements involved in a software project. This knowledge is represented by means fuzzy sets and fuzzy prototypes. The source of data is the Personal Software Project time recording logs. A preliminary experiment illustrates the feasibility of this approach.","1098-7584","978-1-4244-6921-5","10.1109/FUZZY.2010.5584364","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5584364","","Software;Prototypes;Time measurement;Productivity;Pragmatics;Programming;Feature extraction","knowledge acquisition;project management;software management","knowledge extraction;project management;software development process;time recording logs analysis;soft computing techniques;personal software project","","4","","28","","23 Sep 2010","","","IEEE","IEEE Conferences"
