Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Software monitoring with controllable overhead","International Journal on Software Tools for Technology Transfer","","14","3","10.1007/s10009-010-0184-4","Xiaowan HuangJustin SeysterSean CallananKetan DixitRadu GrosuScott A. SmolkaScott D. StollerErez Zadok","2012","http://link.springer.com/article/10.1007/s10009-010-0184-4","Article"
"Distributed and minimal usage control","Service Oriented Computing and Applications","","6","4","10.1007/s11761-012-0112-4","Debmalya BiswasNikolai NefedovValtteri Niemi","2012","http://link.springer.com/article/10.1007/s11761-012-0112-4","Article"
"Baler: deterministic, lossless log message clustering tool","Computer Science - Research and Development","","26","3 - 4","10.1007/s00450-011-0155-3","Narate TaeratJim BrandtAnn GentileMatthew WongChokchai Leangsuksun","2011","http://link.springer.com/article/10.1007/s00450-011-0155-3","Article"
"Evaluating defect prediction approaches: a benchmark and an extensive comparison","Empirical Software Engineering","","17","4 - 5","10.1007/s10664-011-9173-9","Marco D’AmbrosMichele LanzaRomain Robbes","2012","http://link.springer.com/article/10.1007/s10664-011-9173-9","Article"
"Visual GUI testing in practice: challenges, problemsand limitations","Empirical Software Engineering","","20","3","10.1007/s10664-013-9293-5","Emil AlégrothRobert FeldtLisa Ryrholm","2015","http://link.springer.com/article/10.1007/s10664-013-9293-5","Article"
"An experimental investigation on the effects of context on source code identifiers splitting and expansion","Empirical Software Engineering","","19","6","10.1007/s10664-013-9260-1","Latifa GuerroujMassimiliano Di PentaYann-Gaël GuéhéneucGiuliano Antoniol","2014","http://link.springer.com/article/10.1007/s10664-013-9260-1","Article"
"Fast and compact self-stabilizing verification, computation, and fault detection of an MST","Distributed Computing","","28","4","10.1007/s00446-015-0242-y","Amos KormanShay KuttenToshimitsu Masuzawa","2015","http://link.springer.com/article/10.1007/s00446-015-0242-y","Article"
"Using Discrete Event Simulation to Analyze Contention Managers","International Journal of Parallel Programming","","39","6","10.1007/s10766-011-0170-9","Brian Demsky","2011","http://link.springer.com/article/10.1007/s10766-011-0170-9","Article"
"The ABS tool suite: modelling, executing and analysing distributed adaptable object-oriented systems","International Journal on Software Tools for Technology Transfer","","14","5","10.1007/s10009-012-0250-1","Peter Y. H. WongElvira AlbertRadu MuscheviciJosé ProençaJan SchäferRudolf Schlatte","2012","http://link.springer.com/article/10.1007/s10009-012-0250-1","Article"
"Studying the relationship between source code quality and mobile platform dependence","Software Quality Journal","","23","3","10.1007/s11219-014-9238-2","Mark D. SyerMeiyappan NagappanBram AdamsAhmed E. Hassan","2015","http://link.springer.com/article/10.1007/s11219-014-9238-2","Article"
"Developer initiation and social interactions in OSS: A case study of the Apache Software Foundation","Empirical Software Engineering","","20","5","10.1007/s10664-014-9332-x","Mohammad GharehyazieDaryl PosnettBogdan VasilescuVladimir Filkov","2015","http://link.springer.com/article/10.1007/s10664-014-9332-x","Article"
"MobiCloUP!: a PaaS for cloud services-based mobile applications","Automated Software Engineering","","21","3","10.1007/s10515-014-0143-5","Luis Omar Colombo-MendozaGiner Alor-HernándezAlejandro Rodríguez-gonzálezRafael Valencia-garcía","2014","http://link.springer.com/article/10.1007/s10515-014-0143-5","Article"
"Modeling presentation layers of web applications for testing","Software & Systems Modeling","","9","2","10.1007/s10270-009-0125-4","Jeff OffuttYe Wu","2010","http://link.springer.com/article/10.1007/s10270-009-0125-4","Article"
"Parallel Programming Paradigms and Frameworks in Big Data Era","International Journal of Parallel Programming","","42","5","10.1007/s10766-013-0272-7","Ciprian DobreFatos Xhafa","2014","http://link.springer.com/article/10.1007/s10766-013-0272-7","Article"
"Unique identification of elements in evolving software models","Software & Systems Modeling","","13","2","10.1007/s10270-012-0311-7","Sven Wenzel","2014","http://link.springer.com/article/10.1007/s10270-012-0311-7","Article"
"Using search-based algorithms for Ajax event sequence generation during testing","Empirical Software Engineering","","16","1","10.1007/s10664-010-9149-1","Alessandro MarchettoPaolo Tonella","2011","http://link.springer.com/article/10.1007/s10664-010-9149-1","Article"
"Understanding the impact of rapid releases on software quality","Empirical Software Engineering","","20","2","10.1007/s10664-014-9308-x","Foutse KhomhBram AdamsTejinder DhaliwalYing Zou","2015","http://link.springer.com/article/10.1007/s10664-014-9308-x","Article"
"Workflows for quantitative data analysis in the social sciences","International Journal on Software Tools for Technology Transfer","","17","3","10.1007/s10009-014-0315-4","Kenneth J. TurnerPaul S. Lambert","2015","http://link.springer.com/article/10.1007/s10009-014-0315-4","Article"
"Vdiff: a program differencing algorithm for Verilog hardware description language","Automated Software Engineering","","19","4","10.1007/s10515-012-0107-6","Adam DuleyChris SpandikowMiryung Kim","2012","http://link.springer.com/article/10.1007/s10515-012-0107-6","Article"
"Software process evaluation: a machine learning framework with application to defect management process","Empirical Software Engineering","","19","6","10.1007/s10664-013-9254-z","Ning ChenSteven C. H. HoiXiaokui Xiao","2014","http://link.springer.com/article/10.1007/s10664-013-9254-z","Article"
"DropsBox: the Dresden Open Software Toolbox","Software & Systems Modeling","","13","1","10.1007/s10270-012-0284-6","Uwe AßmannAndreas BarthoChristoff BürgerSebastian CechBirgit DemuthFlorian HeidenreichJendrik JohannesSven KarolJan PolowinskiJan ReimannJulia SchroeterMirko SeifertMichael ThieleChristian WendeClaas Wilke","2014","http://link.springer.com/article/10.1007/s10270-012-0284-6","Article"
"Observing the clouds: a survey and taxonomy of cloud monitoring","Journal of Cloud Computing","","3","1","10.1186/s13677-014-0024-2","Jonathan Stuart WardAdam Barker","2014","http://link.springer.com/article/10.1186/s13677-014-0024-2","Article"
"A case study on software risk analysis and planning in medical device development","Software Quality Journal","","22","3","10.1007/s11219-013-9222-2","Christin LindholmJesper Pedersen NotanderMartin Höst","2014","http://link.springer.com/article/10.1007/s11219-013-9222-2","Article"
"SWordNet: Inferring semantically related words from software context","Empirical Software Engineering","","19","6","10.1007/s10664-013-9264-x","Jinqiu YangLin Tan","2014","http://link.springer.com/article/10.1007/s10664-013-9264-x","Article"
"MapReduce for parallel trace validation of LTL properties","Journal of Cloud Computing","","4","1","10.1186/s13677-015-0032-x","Sylvain HalléMaxime Soucy-Boivin","2015","http://link.springer.com/article/10.1186/s13677-015-0032-x","Article"
"Predicting Job Failures in AuverGrid Based on Workload Log Analysis","New Generation Computing","","30","1","10.1007/s00354-012-0105-z","Hamid SaadatfarHamid FadisheiHossein Deldari","2012","http://link.springer.com/article/10.1007/s00354-012-0105-z","Article"
"Mining software repair models for reasoning on the search space of automated program fixing","Empirical Software Engineering","","20","1","10.1007/s10664-013-9282-8","Matias MartinezMartin Monperrus","2015","http://link.springer.com/article/10.1007/s10664-013-9282-8","Article"
"Performance and reliability prediction for evolving service-oriented software systems","Empirical Software Engineering","","18","4","10.1007/s10664-012-9213-0","Heiko KoziolekBastian SchlichSteffen BeckerMichael Hauck","2013","http://link.springer.com/article/10.1007/s10664-012-9213-0","Article"
"Testing of systems for illumination simulation and synthesis of realistic images","Programming and Computer Software","","40","4","10.1134/S0361768814040094","A. G. VoloboiE. Yu. DenisovB. Kh. Barladyan","2014","http://link.springer.com/article/10.1134/S0361768814040094","Article"
"Leader election using loneliness detection","Distributed Computing","","25","6","10.1007/s00446-012-0172-x","Mohsen GhaffariNancy LynchSrikanth Sastry","2012","http://link.springer.com/article/10.1007/s00446-012-0172-x","Article"
"Integrating risk-based testing in industrial test processes","Software Quality Journal","","22","3","10.1007/s11219-013-9226-y","Michael FeldererRudolf Ramler","2014","http://link.springer.com/article/10.1007/s11219-013-9226-y","Article"
"Introduction of static quality analysis in small- and medium-sized software enterprises: experiences from technology transfer","Software Quality Journal","","22","3","10.1007/s11219-013-9217-z","Mario GleirscherDmitriy GolubitskiyMaximilian IrlbeckStefan Wagner","2014","http://link.springer.com/article/10.1007/s11219-013-9217-z","Article"
"Reducing model checking commitments for agent communication to model checking ARCTL and GCTL*","Autonomous Agents and Multi-Agent Systems","","27","3","10.1007/s10458-012-9208-7","Mohamed El MenshawyJamal BentaharWarda El KholyRachida Dssouli","2013","http://link.springer.com/article/10.1007/s10458-012-9208-7","Article"
"An empirical investigation into open source web applications’ implementation vulnerabilities","Empirical Software Engineering","","15","5","10.1007/s10664-010-9131-y","Toan HuynhJames Miller","2010","http://link.springer.com/article/10.1007/s10664-010-9131-y","Article"
"Data management in cloud environments: NoSQL and NewSQL data stores","Journal of Cloud Computing: Advances, Systems and Applications","","2","1","10.1186/2192-113X-2-22","Katarina GrolingerWilson A HigashinoAbhinav TiwariMiriam AM Capretz","2013","http://link.springer.com/article/10.1186/2192-113X-2-22","Article"
"Composing domain-specific physical models with general-purpose software modules in embedded control software","Software & Systems Modeling","","13","1","10.1007/s10270-012-0283-7","Arjan de RooHasan SözerMehmet Akşit","2014","http://link.springer.com/article/10.1007/s10270-012-0283-7","Article"
"Simulating parallel programs on application and system level","Computer Science - Research and Development","","28","2 - 3","10.1007/s00450-012-0208-2","Julian M. Kunkel","2013","http://link.springer.com/article/10.1007/s00450-012-0208-2","Article"
"The use of dynamic analysis for generation of input data that demonstrates critical bugs and vulnerabilities in programs","Programming and Computer Software","","36","4","10.1134/S0361768810040055","I. K. IsaevD. V. Sidorov","2010","http://link.springer.com/article/10.1134/S0361768810040055","Article"
"Component architecture of model-based testing environment","Programming and Computer Software","","36","5","10.1134/S036176881005004X","V. V. Kuliamin","2010","http://link.springer.com/article/10.1134/S036176881005004X","Article"
"A Large-Scale Empirical Study of the Relationship between Build Technology and Build Maintenance","Empirical Software Engineering","","20","6","10.1007/s10664-014-9324-x","Shane McIntoshMeiyappan NagappanBram AdamsAudris MockusAhmed E. Hassan","2015","http://link.springer.com/article/10.1007/s10664-014-9324-x","Article"
"Do developers benefit from requirements traceability when evolving and maintaining a software system?","Empirical Software Engineering","","20","2","10.1007/s10664-014-9314-z","Patrick MäderAlexander Egyed","2015","http://link.springer.com/article/10.1007/s10664-014-9314-z","Article"
"Model checking agent programming languages","Automated Software Engineering","","19","1","10.1007/s10515-011-0088-x","Louise A. DennisMichael FisherMatthew P. WebsterRafael H. Bordini","2012","http://link.springer.com/article/10.1007/s10515-011-0088-x","Article"
"AutoODC: Automated generation of orthogonal defect classifications","Automated Software Engineering","","22","1","10.1007/s10515-014-0155-1","LiGuo HuangVincent NgIsaac PersingMingrui ChenZeheng LiRuili GengJeff Tian","2015","http://link.springer.com/article/10.1007/s10515-014-0155-1","Article"
"The evolution of Java build systems","Empirical Software Engineering","","17","4 - 5","10.1007/s10664-011-9169-5","Shane McIntoshBram AdamsAhmed E. Hassan","2012","http://link.springer.com/article/10.1007/s10664-011-9169-5","Article"
"Taxonomy of quality metrics for assessing assurance of security correctness","Software Quality Journal","","21","1","10.1007/s11219-011-9169-0","Moussa OuedraogoReijo M. SavolaHaralambos MouratidisDavid PrestonDjamel KhadraouiEric Dubois","2013","http://link.springer.com/article/10.1007/s11219-011-9169-0","Article"
"Formal methods for security in the Xenon hypervisor","International Journal on Software Tools for Technology Transfer","","13","5","10.1007/s10009-011-0195-9","Leo FreitasJohn McDermott","2011","http://link.springer.com/article/10.1007/s10009-011-0195-9","Article"
"Time variance and defect prediction in software projects","Empirical Software Engineering","","17","4 - 5","10.1007/s10664-011-9180-x","Jayalath EkanayakeJonas TappoletHarald C. GallAbraham Bernstein","2012","http://link.springer.com/article/10.1007/s10664-011-9180-x","Article"
"An agent-oriented approach to change propagation in software maintenance","Autonomous Agents and Multi-Agent Systems","","23","3","10.1007/s10458-010-9163-0","Hoa Khanh DamMichael Winikoff","2011","http://link.springer.com/article/10.1007/s10458-010-9163-0","Article"
"Virtual machine introspection: towards bridging the semantic gap","Journal of Cloud Computing","","3","1","10.1186/s13677-014-0016-2","Asit MoreShashikala Tapaswi","2014","http://link.springer.com/article/10.1186/s13677-014-0016-2","Article"
"The design space of multi-language development environments","Software & Systems Modeling","","14","1","10.1007/s10270-013-0376-y","Rolf-Helge PfeifferAndrzej Wąsowski","2015","http://link.springer.com/article/10.1007/s10270-013-0376-y","Article"
"High-MCC Functions in the Linux Kernel","Empirical Software Engineering","","19","5","10.1007/s10664-013-9275-7","Ahmad JbaraAdam MatanDror G. Feitelson","2014","http://link.springer.com/article/10.1007/s10664-013-9275-7","Article"
"An evaluation of the statistical convertibility of Function Points into COSMIC Function Points","Empirical Software Engineering","","19","4","10.1007/s10664-013-9246-z","Luigi Lavazza","2014","http://link.springer.com/article/10.1007/s10664-013-9246-z","Article"
"Tailoring video recording to support efficient GUI testing and debugging","Software Quality Journal","","22","2","10.1007/s11219-013-9206-2","Raphael PhamHelge HolzmannKurt SchneiderChristian Brüggemann","2014","http://link.springer.com/article/10.1007/s11219-013-9206-2","Article"
"Greedy routing in small-world networks with power-law degrees","Distributed Computing","","27","4","10.1007/s00446-014-0210-y","Pierre FraigniaudGeorge Giakkoupis","2014","http://link.springer.com/article/10.1007/s00446-014-0210-y","Article"
"Event-driven modeling and testing of real-time web services","Service Oriented Computing and Applications","","4","1","10.1007/s11761-010-0056-5","Fevzi BelliMichael Linschulte","2010","http://link.springer.com/article/10.1007/s11761-010-0056-5","Article"
"Using aspects for testing of embedded software: experiences from two industrial case studies","Software Quality Journal","","22","2","10.1007/s11219-012-9193-8","Jani MetsäShahar MaozMika KataraTommi Mikkonen","2014","http://link.springer.com/article/10.1007/s11219-012-9193-8","Article"
"Secure semantic expansion based search over encrypted cloud data supporting similarity ranking","Journal of Cloud Computing","","3","1","10.1186/s13677-014-0008-2","Zhihua XiaYanling ZhuXingming SunLihong Chen","2014","http://link.springer.com/article/10.1186/s13677-014-0008-2","Article"
"An approach to implementation of aspect-oriented programming for C","Programming and Computer Software","","39","4","10.1134/S0361768813040051","E. M. Novikov","2013","http://link.springer.com/article/10.1134/S0361768813040051","Article"
"A class library for implementing, testing, and debugging concurrent programs","International Journal on Software Tools for Technology Transfer","","12","1","10.1007/s10009-009-0102-9","Richard H. CarverYu Lei","2010","http://link.springer.com/article/10.1007/s10009-009-0102-9","Article"
"Soft-error mitigation by means of decoupled transactional memory threads","Distributed Computing","","28","2","10.1007/s00446-014-0215-6","Daniel SánchezJuan M. CebriánJosé M. GarcíaJuan L. Aragón","2015","http://link.springer.com/article/10.1007/s00446-014-0215-6","Article"
"Generating model-based test cases from natural language requirements for space application software","Software Quality Journal","","20","1","10.1007/s11219-011-9155-6","Valdivino Alexandre de Santiago JúniorNandamudi Lankalapalli Vijaykumar","2012","http://link.springer.com/article/10.1007/s11219-011-9155-6","Article"
"Graph and model transformation tools for model migration","Software & Systems Modeling","","13","1","10.1007/s10270-012-0245-0","Louis M. RoseMarkus HerrmannsdoerferSteffen MazanekPieter Van GorpSebastian BuchwaldTassilo HornElina KalninaAndreas KochKevin LanoBernhard SchätzManuel Wimmer","2014","http://link.springer.com/article/10.1007/s10270-012-0245-0","Article"
"Crawlability metrics for automated web testing","International Journal on Software Tools for Technology Transfer","","13","2","10.1007/s10009-010-0177-3","Alessandro MarchettoRoberto TiellaPaolo TonellaNadia AlshahwanMark Harman","2011","http://link.springer.com/article/10.1007/s10009-010-0177-3","Article"
"From monolithic to component-based performance evaluation of software architectures","Empirical Software Engineering","","16","5","10.1007/s10664-010-9142-8","Anne MartensHeiko KoziolekLutz PrecheltRalf Reussner","2011","http://link.springer.com/article/10.1007/s10664-010-9142-8","Article"
