Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"FEVER: An approach to analyze feature-oriented changes and artefact co-evolution in highly configurable systems","Empirical Software Engineering","","23","2","10.1007/s10664-017-9557-6","Nicolas DintznerArie van DeursenMartin Pinzger","2018","http://link.springer.com/article/10.1007/s10664-017-9557-6","Article"
"From Aristotle to Ringelmann: a large-scale analysis of team productivity and coordination in Open Source Software projects","Empirical Software Engineering","","21","2","10.1007/s10664-015-9406-4","Ingo ScholtesPavlin MavrodievFrank Schweitzer","2016","http://link.springer.com/article/10.1007/s10664-015-9406-4","Article"
"Transparent Speculative Parallelization of Discrete Event Simulation Applications Using Global Variables","International Journal of Parallel Programming","","44","6","10.1007/s10766-016-0429-2","Alessandro PellegriniSebastiano PelusoFrancesco QuagliaRoberto Vitali","2016","http://link.springer.com/article/10.1007/s10766-016-0429-2","Article"
"Persistent code contribution: a ranking algorithm for code contribution in crowdsourced software","Empirical Software Engineering","","23","4","10.1007/s10664-017-9575-4","Michail Tsikerdekis","2018","http://link.springer.com/article/10.1007/s10664-017-9575-4","Article"
"LogDrive: a proactive data collection and analysis framework for time-traveling forensic investigation in IaaS cloud environments","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0119-2","Manabu HiranoNatsuki TsuzukiSeishiro IkedaRyotaro Kobayashi","2018","http://link.springer.com/article/10.1186/s13677-018-0119-2","Article"
"Coevolution of variability models and related software artifacts","Empirical Software Engineering","","21","4","10.1007/s10664-015-9364-x","Leonardo PassosLeopoldo TeixeiraNicolas DintznerSven ApelAndrzej WąsowskiKrzysztof CzarneckiPaulo BorbaJianmei Guo","2016","http://link.springer.com/article/10.1007/s10664-015-9364-x","Article"
"Assessment and cross-product prediction of software product line quality: accounting for reuse across products, over multiple releases","Automated Software Engineering","","23","2","10.1007/s10515-014-0160-4","Thomas DevineKaterina Goseva-PopstojanovaSandeep KrishnanRobyn R. Lutz","2016","http://link.springer.com/article/10.1007/s10515-014-0160-4","Article"
"DroidLeaks: a comprehensive database of resource leaks in Android apps","Empirical Software Engineering","","24","6","10.1007/s10664-019-09715-8","Yepang LiuJue WangLili WeiChang XuShing-Chi CheungTianyong WuJun YanJian Zhang","2019","http://link.springer.com/article/10.1007/s10664-019-09715-8","Article"
"Scientific workflows for process mining: building blocks, scenarios, and implementation","International Journal on Software Tools for Technology Transfer","","18","6","10.1007/s10009-015-0399-5","Alfredo BoltMassimiliano de LeoniWil M. P. van der Aalst","2016","http://link.springer.com/article/10.1007/s10009-015-0399-5","Article"
"An empirical study of architecting for continuous delivery and deployment","Empirical Software Engineering","","24","3","10.1007/s10664-018-9651-4","Mojtaba ShahinMansooreh ZahediMuhammad Ali BabarLiming Zhu","2019","http://link.springer.com/article/10.1007/s10664-018-9651-4","Article"
"Inference of development activities from interaction with uninstrumented applications","Empirical Software Engineering","","23","3","10.1007/s10664-017-9547-8","Lingfeng BaoZhenchang XingXin XiaDavid LoAhmed E. Hassan","2018","http://link.springer.com/article/10.1007/s10664-017-9547-8","Article"
"DurableFS: a file system for NVRAM","CSI Transactions on ICT","","7","4","10.1007/s40012-019-00215-0","Chandan KalitaGautam BaruaPriya Sehgal","2019","http://link.springer.com/article/10.1007/s40012-019-00215-0","Article"
"Do Programmers do Change Impact Analysis in Debugging?","Empirical Software Engineering","","22","2","10.1007/s10664-016-9441-9","Siyuan JiangCollin McMillanRaul Santelices","2017","http://link.springer.com/article/10.1007/s10664-016-9441-9","Article"
"A field study of how developers locate features in source code","Empirical Software Engineering","","21","2","10.1007/s10664-015-9373-9","Kostadin DamevskiDavid ShepherdLori Pollock","2016","http://link.springer.com/article/10.1007/s10664-015-9373-9","Article"
"Analyzing the effects of test driven development in GitHub","Empirical Software Engineering","","23","4","10.1007/s10664-017-9576-3","Neil C. BorleMeysam FeghhiEleni StrouliaRussell GreinerAbram Hindle","2018","http://link.springer.com/article/10.1007/s10664-017-9576-3","Article"
"A repository of Unix history and evolution","Empirical Software Engineering","","22","3","10.1007/s10664-016-9445-5","Diomidis Spinellis","2017","http://link.springer.com/article/10.1007/s10664-016-9445-5","Article"
"RollSec: Automatically Secure Software States Against General Rollback","International Journal of Parallel Programming","","46","4","10.1007/s10766-017-0523-0","Weiqi DaiYukun DuHai JinWeizhong QiangDeqing ZouShouhuai XuZhongze Liu","2018","http://link.springer.com/article/10.1007/s10766-017-0523-0","Article"
"Fault tolerant software systems using software configurations for cloud computing","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0104-9","Mylara Reddy ChinnaiahNalini Niranjan","2018","http://link.springer.com/article/10.1186/s13677-018-0104-9","Article"
"WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction—a model-driven approach for session-based application systems","Software & Systems Modeling","","17","2","10.1007/s10270-016-0566-5","Christian VögeleAndré van HoornEike SchulzWilhelm HasselbringHelmut Krcmar","2018","http://link.springer.com/article/10.1007/s10270-016-0566-5","Article"
"Matching events and activities by integrating behavioral aspects and label analysis","Software & Systems Modeling","","17","2","10.1007/s10270-017-0603-z","Thomas BaierClaudio Di CiccioJan MendlingMathias Weske","2018","http://link.springer.com/article/10.1007/s10270-017-0603-z","Article"
"Data Transformation in Cross-project Defect Prediction","Empirical Software Engineering","","22","6","10.1007/s10664-017-9516-2","Feng ZhangIman KeivanlooYing Zou","2017","http://link.springer.com/article/10.1007/s10664-017-9516-2","Article"
"Redundancy-free analysis of multi-revision software artifacts","Empirical Software Engineering","","24","1","10.1007/s10664-018-9630-9","Carol V. AlexandruSebastiano PanichellaSebastian ProkschHarald C. Gall","2019","http://link.springer.com/article/10.1007/s10664-018-9630-9","Article"
"Reconstructing and evolving software architectures using a coordinated clustering framework","Automated Software Engineering","","24","3","10.1007/s10515-017-0211-8","Sheikh Motahar NaimKostadin DamevskiM. Shahriar Hossain","2017","http://link.springer.com/article/10.1007/s10515-017-0211-8","Article"
"Scalable process discovery and conformance checking","Software & Systems Modeling","","17","2","10.1007/s10270-016-0545-x","Sander J. J. LeemansDirk FahlandWil M. P. van der Aalst","2018","http://link.springer.com/article/10.1007/s10270-016-0545-x","Article"
"Locating bugs without looking back","Automated Software Engineering","","25","3","10.1007/s10515-017-0226-1","Tezcan DilshenerMichel WermelingerYijun Yu","2018","http://link.springer.com/article/10.1007/s10515-017-0226-1","Article"
"ChronoSphere: a graph-based EMF model repository for IT landscape models","Software and Systems Modeling","","18","6","10.1007/s10270-019-00725-0","Martin HaeuslerThomas TrojerJohannes KesslerMatthias FarwickEmmanuel NowakowskiRuth Breu","2019","http://link.springer.com/article/10.1007/s10270-019-00725-0","Article"
"An empirical study of crash-inducing commits in Mozilla Firefox","Software Quality Journal","","26","2","10.1007/s11219-017-9361-y","Le AnFoutse KhomhYann-Gaël Guéhéneuc","2018","http://link.springer.com/article/10.1007/s11219-017-9361-y","Article"
"Semantics-driven extraction of timed automata from Java programs","Empirical Software Engineering","","24","5","10.1007/s10664-019-09699-5","Giovanni LivaMuhammad Taimoor KhanMartin Pinzger","2019","http://link.springer.com/article/10.1007/s10664-019-09699-5","Article"
"Extracting and analyzing time-series HCI data from screen-captured task videos","Empirical Software Engineering","","22","1","10.1007/s10664-015-9417-1","Lingfeng BaoJing LiZhenchang XingXinyu WangXin XiaBo Zhou","2017","http://link.springer.com/article/10.1007/s10664-015-9417-1","Article"
"Ahead of time static analysis for automatic generation of debugging interfaces to the Linux kernel","Automated Software Engineering","","23","1","10.1007/s10515-014-0152-4","Tegawendé F. BissyandéLaurent RéveillèreJulia L. LawallGilles Muller","2016","http://link.springer.com/article/10.1007/s10515-014-0152-4","Article"
"Process mining using BPMN: relating event logs and process models","Software & Systems Modeling","","16","4","10.1007/s10270-015-0502-0","Anna A. KalenkovaWil M. P. van der AalstIrina A. LomazovaVladimir A. Rubin","2017","http://link.springer.com/article/10.1007/s10270-015-0502-0","Article"
"Analytics using metadata associations for digital investigations","CSI Transactions on ICT","","5","3","10.1007/s40012-017-0174-8","Sriram RaghavanS. V. Raghavan","2017","http://link.springer.com/article/10.1007/s40012-017-0174-8","Article"
"Identifying and understanding header file hotspots in C/C++ build processes","Automated Software Engineering","","23","4","10.1007/s10515-015-0183-5","Shane McIntoshBram AdamsMeiyappan NagappanAhmed E. Hassan","2016","http://link.springer.com/article/10.1007/s10515-015-0183-5","Article"
"Are vulnerabilities discovered and resolved like other defects?","Empirical Software Engineering","","23","3","10.1007/s10664-017-9541-1","Patrick J. MorrisonRahul PanditaXusheng XiaoRam ChillaregeLaurie Williams","2018","http://link.springer.com/article/10.1007/s10664-017-9541-1","Article"
"Fast LH
                
                  
                
                $$*$$
                
                  
                    
                      
                      ∗","International Journal of Parallel Programming","","44","4","10.1007/s10766-015-0371-8","Juan ChabkinianThomas J. E. Schwarz SJ","2016","http://link.springer.com/article/10.1007/s10766-015-0371-8","Article"
"fine-GRAPE: fine-grained APi usage extractor – an approach and dataset to investigate API usage","Empirical Software Engineering","","22","3","10.1007/s10664-016-9444-6","Anand Ashok SawantAlberto Bacchelli","2017","http://link.springer.com/article/10.1007/s10664-016-9444-6","Article"
"ARMISCOM: self-healing service composition","Service Oriented Computing and Applications","","11","3","10.1007/s11761-017-0217-x","J. VizcarrondoJ. AguilarE. ExpositoA. Subias","2017","http://link.springer.com/article/10.1007/s11761-017-0217-x","Article"
"The influence of cyclomatic complexity distribution on the understandability of xtUML models","Software Quality Journal","","26","2","10.1007/s11219-016-9351-5","Nenad UkićJosip MarasLjiljana Šerić","2018","http://link.springer.com/article/10.1007/s11219-016-9351-5","Article"
"A systematic approach for performance assessment using process mining","Empirical Software Engineering","","23","6","10.1007/s10664-018-9606-9","Simona BernardiJuan L. DomínguezAbel GómezChristophe JoubertJosé MerseguerDiego Perez-PalacinJosé I. RequenoAlberto Romeu","2018","http://link.springer.com/article/10.1007/s10664-018-9606-9","Article"
"Toward the development of a conventional time series based web error forecasting framework","Empirical Software Engineering","","23","2","10.1007/s10664-017-9530-4","Arunava RoyHoang Pham","2018","http://link.springer.com/article/10.1007/s10664-017-9530-4","Article"
"Practical and effective sandboxing for Linux containers","Empirical Software Engineering","","24","6","10.1007/s10664-019-09737-2","Zhiyuan WanDavid LoXin XiaLiang Cai","2019","http://link.springer.com/article/10.1007/s10664-019-09737-2","Article"
"An empirical study of integration activities in distributions of open source software","Empirical Software Engineering","","21","3","10.1007/s10664-015-9371-y","Bram AdamsRyan KavanaghAhmed E. HassanDaniel M. German","2016","http://link.springer.com/article/10.1007/s10664-015-9371-y","Article"
"PRETSA: Event Log Sanitization for Privacy-aware Process Discovery","Informatik Spektrum","","42","5","10.1007/s00287-019-01203-z","Stephan A. Fahrenkrog-PetersenHan van der AaMatthias Weidlich","2019","http://link.springer.com/article/10.1007/s00287-019-01203-z","Article"
"Testing concurrent user behavior of synchronous web applications with Petri nets","Software & Systems Modeling","","18","2","10.1007/s10270-018-0655-8","Jeff OffuttSunitha Thummala","2019","http://link.springer.com/article/10.1007/s10270-018-0655-8","Article"
"Using contexts to extract models from code","Software & Systems Modeling","","16","2","10.1007/s10270-015-0466-0","Lucio Mauro DuarteJeff KramerSebastian Uchitel","2017","http://link.springer.com/article/10.1007/s10270-015-0466-0","Article"
"Query based approach for referrer field analysis of log data using web mining techniques for ontology improvement","International Journal of Information Technology","","10","1","10.1007/s41870-017-0063-2","Navjot KaurHimanshu Aggarwal","2018","http://link.springer.com/article/10.1007/s41870-017-0063-2","Article"
"Conformance checking in UML artifact-centric business process models","Software & Systems Modeling","","18","4","10.1007/s10270-018-0681-6","Montserrat EstañolJorge Munoz-GamaJosep CarmonaErnest Teniente","2019","http://link.springer.com/article/10.1007/s10270-018-0681-6","Article"
"Preprocessor-based variability in open-source and industrial software systems: An empirical study","Empirical Software Engineering","","21","2","10.1007/s10664-015-9360-1","Claus HunsenBo ZhangJanet SiegmundChristian KästnerOlaf LeßenichMartin BeckerSven Apel","2016","http://link.springer.com/article/10.1007/s10664-015-9360-1","Article"
"How does code style inconsistency affect pull request integration? An exploratory study on 117 GitHub projects","Empirical Software Engineering","","24","6","10.1007/s10664-019-09720-x","Weiqin ZouJifeng XuanXiaoyuan XieZhenyu ChenBaowen Xu","2019","http://link.springer.com/article/10.1007/s10664-019-09720-x","Article"
"Code generation for Event-B","International Journal on Software Tools for Technology Transfer","","19","1","10.1007/s10009-015-0381-2","Víctor RiveraNéstor CatañoTim WahlsCamilo Rueda","2017","http://link.springer.com/article/10.1007/s10009-015-0381-2","Article"
"Troubleshooting Serverless functions: a combined monitoring and debugging approach","SICS Software-Intensive Cyber-Physical Systems","","34","2 - 3","10.1007/s00450-019-00398-6","Johannes MannerStefan KolbGuido Wirtz","2019","http://link.springer.com/article/10.1007/s00450-019-00398-6","Article"
"Lightweight control-flow instrumentation and postmortem analysis in support of debugging","Automated Software Engineering","","24","4","10.1007/s10515-016-0190-1","Peter OhmannBen Liblit","2017","http://link.springer.com/article/10.1007/s10515-016-0190-1","Article"
"An empirical study of unspecified dependencies in make-based build systems","Empirical Software Engineering","","22","6","10.1007/s10664-017-9510-8","Cor-Paul BezemerShane McIntoshBram AdamsDaniel M. GermanAhmed E. Hassan","2017","http://link.springer.com/article/10.1007/s10664-017-9510-8","Article"
"Automated training-set creation for software architecture traceability problem","Empirical Software Engineering","","22","3","10.1007/s10664-016-9476-y","Waleed ZogaanIbrahim MujhidJoanna C. S. SantosDanielle GonzalezMehdi Mirakhorli","2017","http://link.springer.com/article/10.1007/s10664-016-9476-y","Article"
"Detecting plagiarized mobile apps using API birthmarks","Automated Software Engineering","","23","4","10.1007/s10515-015-0182-6","Daeyoung KimAmruta GokhaleVinod GanapathyAbhinav Srivastava","2016","http://link.springer.com/article/10.1007/s10515-015-0182-6","Article"
"Evaluating cloud database migration options using workload models","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0108-5","Martyn EllisonRadu CalinescuRichard F. Paige","2018","http://link.springer.com/article/10.1186/s13677-018-0108-5","Article"
"Tight bounds for parallel randomized load balancing","Distributed Computing","","29","2","10.1007/s00446-014-0225-4","Christoph LenzenRoger Wattenhofer","2016","http://link.springer.com/article/10.1007/s00446-014-0225-4","Article"
"Distributed algorithms for the Lovász local lemma and graph coloring","Distributed Computing","","30","4","10.1007/s00446-016-0287-6","Kai-Min ChungSeth PettieHsin-Hao Su","2017","http://link.springer.com/article/10.1007/s00446-016-0287-6","Article"
"Distributed backup placement in networks","Distributed Computing","","31","2","10.1007/s00446-017-0299-x","Magnús M. HalldórssonSven KöhlerBoaz Patt-ShamirDror Rawitz","2018","http://link.springer.com/article/10.1007/s00446-017-0299-x","Article"
"Degrees of tenant isolation for cloud-hosted software services: a cross-case analysis","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0121-8","Laud Charles OcheiJulian M. BassAndrei Petrovski","2018","http://link.springer.com/article/10.1186/s13677-018-0121-8","Article"
"On the impact of state-based model-driven development on maintainability: a family of experiments using UniMod","Empirical Software Engineering","","23","3","10.1007/s10664-017-9563-8","Filippo RiccaMarco TorchianoMaurizio LeottaAlessandro TisoGiovanna GuerriniGianna Reggio","2018","http://link.springer.com/article/10.1007/s10664-017-9563-8","Article"
"Tracing distributed collaborative development in apache software foundation projects","Empirical Software Engineering","","22","4","10.1007/s10664-016-9463-3","Mohammad GharehyazieVladimir Filkov","2017","http://link.springer.com/article/10.1007/s10664-016-9463-3","Article"
"Learning and statistical model checking of system response times","Software Quality Journal","","27","2","10.1007/s11219-018-9432-8","Bernhard K. AichernigPriska BauerstätterElisabeth JöbstlSeverin KannRobert KorošecWillibald KrennCristinel MateisRupert SchlickRichard Schumi","2019","http://link.springer.com/article/10.1007/s11219-018-9432-8","Article"
"Genetic improvement of GPU software","Genetic Programming and Evolvable Machines","","18","1","10.1007/s10710-016-9273-9","William B. LangdonBrian Yee Hong LamMarc ModatJustyna PetkeMark Harman","2017","http://link.springer.com/article/10.1007/s10710-016-9273-9","Article"
"cregit: Token-level blame information in git version control repositories","Empirical Software Engineering","","24","4","10.1007/s10664-019-09704-x","Daniel M. GermanBram AdamsKate Stewart","2019","http://link.springer.com/article/10.1007/s10664-019-09704-x","Article"
"Automatic query rewriting schemes for multitenant SaaS applications","Automated Software Engineering","","23","4","10.1007/s10515-015-0178-2","Chun-Feng LiaoKung ChenDeik Hoong TanJiu-Jye Chen","2016","http://link.springer.com/article/10.1007/s10515-015-0178-2","Article"
"License usage and changes: a large-scale study on gitHub","Empirical Software Engineering","","22","3","10.1007/s10664-016-9438-4","Christopher VendomeGabriele BavotaMassimiliano Di PentaMario Linares-VásquezDaniel GermanDenys Poshyvanyk","2017","http://link.springer.com/article/10.1007/s10664-016-9438-4","Article"
"An integrated environment for Spin-based C code checking","International Journal on Software Tools for Technology Transfer","","21","3","10.1007/s10009-019-00510-w","Daniel RatiuAndreas Ulrich","2019","http://link.springer.com/article/10.1007/s10009-019-00510-w","Article"
"Mining team compositions for collaborative work in business processes","Software & Systems Modeling","","17","2","10.1007/s10270-016-0567-4","Stefan SchönigCristina CabanillasClaudio Di CiccioStefan JablonskiJan Mendling","2018","http://link.springer.com/article/10.1007/s10270-016-0567-4","Article"
"Technologies for Web and cloud service interaction: a survey","Service Oriented Computing and Applications","","10","2","10.1007/s11761-015-0174-1","Harald Lampesberger","2016","http://link.springer.com/article/10.1007/s11761-015-0174-1","Article"
"A modified framework to detect keyloggers using machine learning algorithm","International Journal of Information Technology","","11","4","10.1007/s41870-018-0237-6","Divyadev PillaiIrfan Siddavatam","2019","http://link.springer.com/article/10.1007/s41870-018-0237-6","Article"
"Systematic literature review of the objectives, techniques, kinds, and architectures of models at runtime","Software & Systems Modeling","","15","1","10.1007/s10270-013-0394-9","Michael SzvetitsUwe Zdun","2016","http://link.springer.com/article/10.1007/s10270-013-0394-9","Article"
"A survey on the use of topic models when mining software repositories","Empirical Software Engineering","","21","5","10.1007/s10664-015-9402-8","Tse-Hsun ChenStephen W. ThomasAhmed E. Hassan","2016","http://link.springer.com/article/10.1007/s10664-015-9402-8","Article"
"Improving the performance of reverse debugging","Programming and Computer Software","","43","1","10.1134/S0361768817010042","M. A. KlimushenkovaP. M. Dovgalyuk","2017","http://link.springer.com/article/10.1134/S0361768817010042","Article"
"Towards building a universal defect prediction model with rank transformed predictors","Empirical Software Engineering","","21","5","10.1007/s10664-015-9396-2","Feng ZhangAudris MockusIman KeivanlooYing Zou","2016","http://link.springer.com/article/10.1007/s10664-015-9396-2","Article"
"An automated software reliability prediction system for safety critical software","Empirical Software Engineering","","21","6","10.1007/s10664-015-9412-6","Xiang LiChetan MuthaCarol S. Smidts","2016","http://link.springer.com/article/10.1007/s10664-015-9412-6","Article"
"Do bugs foreshadow vulnerabilities? An in-depth study of the chromium project","Empirical Software Engineering","","22","3","10.1007/s10664-016-9447-3","Nuthan MunaiahFelivel CamiloWesley WighamAndrew MeneelyMeiyappan Nagappan","2017","http://link.springer.com/article/10.1007/s10664-016-9447-3","Article"
"Automation and intelligent scheduling of distributed system functional testing","International Journal on Software Tools for Technology Transfer","","19","3","10.1007/s10009-016-0440-3","Lom Messan HillahAriele-Paolo MaesanoFabio De RosaFabrice KordonPierre-Henri WuilleminRiccardo FontanelliSergio Di BonaDavide GuerriLibero Maesano","2017","http://link.springer.com/article/10.1007/s10009-016-0440-3","Article"
"Features of the deterministic replay in the case of a minimum device set","Programming and Computer Software","","42","3","10.1134/S0361768816030038","V. Yu. EfimovK. A. BatuzovV. A. PadaryanA. I. Avetisyan","2016","http://link.springer.com/article/10.1134/S0361768816030038","Article"
"Parallelizing Convolutional Neural Networks for Action Event Recognition in Surveillance Videos","International Journal of Parallel Programming","","45","4","10.1007/s10766-016-0451-4","Qicong WangJinhao ZhaoDingxi GongYehu ShenMaozhen LiYunqi Lei","2017","http://link.springer.com/article/10.1007/s10766-016-0451-4","Article"
"Distributed distance computation and routing with small messages","Distributed Computing","","32","2","10.1007/s00446-018-0326-6","Christoph LenzenBoaz Patt-ShamirDavid Peleg","2019","http://link.springer.com/article/10.1007/s00446-018-0326-6","Article"
"Scripted GUI testing of Android open-source apps: evolution of test code and fragility causes","Empirical Software Engineering","","24","5","10.1007/s10664-019-09722-9","Riccardo CoppolaMaurizio MorisioMarco TorchianoLuca Ardito","2019","http://link.springer.com/article/10.1007/s10664-019-09722-9","Article"
"DALEC: a framework for the systematic evaluation of data-centric approaches to process management software","Software & Systems Modeling","","18","4","10.1007/s10270-018-0695-0","Sebastian SteinauAndrea MarrellaKevin AndrewsFrancesco LeottaMassimo MecellaManfred Reichert","2019","http://link.springer.com/article/10.1007/s10270-018-0695-0","Article"
"Do automated program repair techniques repair hard and important bugs?","Empirical Software Engineering","","23","5","10.1007/s10664-017-9550-0","Manish MotwaniSandhya SankaranarayananRené JustYuriy Brun","2018","http://link.springer.com/article/10.1007/s10664-017-9550-0","Article"
"Metric-based software reliability prediction approach and its application","Empirical Software Engineering","","22","4","10.1007/s10664-016-9425-9","Ying ShiMing LiSteven ArndtCarol Smidts","2017","http://link.springer.com/article/10.1007/s10664-016-9425-9","Article"
"An automatic method for assessing the versions affected by a vulnerability","Empirical Software Engineering","","21","6","10.1007/s10664-015-9408-2","Viet Hung NguyenStanislav DashevskyiFabio Massacci","2016","http://link.springer.com/article/10.1007/s10664-015-9408-2","Article"
"Combining usage-based and model-based testing for service-oriented architectures in the industrial practice","International Journal on Software Tools for Technology Transfer","","19","3","10.1007/s10009-016-0437-y","Steffen HerboldPatrick HarmsJens Grabowski","2017","http://link.springer.com/article/10.1007/s10009-016-0437-y","Article"
"Cloned and non-cloned Java methods: a comparative study","Empirical Software Engineering","","23","4","10.1007/s10664-017-9572-7","Vaibhav SainiHitesh SajnaniCristina Lopes","2018","http://link.springer.com/article/10.1007/s10664-017-9572-7","Article"
"A declarative framework for stateful analysis of execution traces","Software Quality Journal","","25","1","10.1007/s11219-016-9311-0","Florian WiningerNaser Ezzati-JivanMichel R. Dagenais","2017","http://link.springer.com/article/10.1007/s11219-016-9311-0","Article"
"Case study on which relations to use for clustering-based software architecture recovery","Empirical Software Engineering","","22","4","10.1007/s10664-016-9459-z","Ioanna StavropoulouMarios GrigoriouKostas Kontogiannis","2017","http://link.springer.com/article/10.1007/s10664-016-9459-z","Article"
"Precise semantic history slicing through dynamic delta refinement","Automated Software Engineering","","26","4","10.1007/s10515-019-00260-8","Yi LiChenguang ZhuMilos GligoricJulia RubinMarsha Chechik","2019","http://link.springer.com/article/10.1007/s10515-019-00260-8","Article"
"Curating GitHub for engineered software projects","Empirical Software Engineering","","22","6","10.1007/s10664-017-9512-6","Nuthan MunaiahSteven KrohCraig CabreyMeiyappan Nagappan","2017","http://link.springer.com/article/10.1007/s10664-017-9512-6","Article"
"An in-depth study of the promises and perils of mining GitHub","Empirical Software Engineering","","21","5","10.1007/s10664-015-9393-5","Eirini KalliamvakouGeorgios GousiosKelly BlincoeLeif SingerDaniel M. GermanDaniela Damian","2016","http://link.springer.com/article/10.1007/s10664-015-9393-5","Article"
