Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Ma, X., Duan, C., Cai, S., Wang, X., Jiang, C., Yue, Z., Li, K., Jin, M., Zhang, D., Wang, X., Peng, X.","57148973800; 42961208100; 57221193073; 57221207612; 57211473278; 55544325500; 57221207009; 56999697100; 56330915000; 57206601749; 7401594176","The development and initial evaluation of referral flowchart for suspected neuroblastoma for pediatricians in nononcology clinics in China",2021,"Pediatric Blood and Cancer",68,"5", e28869,,,,,10.1002/pbc.28869,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098504922&partnerID=40&md5=a1e2ee6107d78c64da5e24d1df840483",Article,Final,,Scopus,2-s2.0-85098504922
"Patel, L.G., Peck, T., Starr, M.R., Ammar, M.J., Khan, M.A., Yonekawa, Y., Klufas, M.A., Regillo, C.D., Ho, A.C., Xu, D.","57216197751; 57192951056; 56844790300; 57214138862; 56115263000; 56443653100; 25825155500; 7003549397; 7402675099; 57193727363","Clinical Presentation of Rhegmatogenous Retinal Detachment during the COVID-19 Pandemic: A Historical Cohort Study",2021,"Ophthalmology",128,"5",,686,692,,1,10.1016/j.ophtha.2020.10.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096368375&partnerID=40&md5=33c26bc7228851f41f8470ac1b7710f0",Article,Final,Open Access,Scopus,2-s2.0-85096368375
"Otoo, D., Hodgetts, D.","57211243045; 7003710328","Porosity and permeability prediction through forward stratigraphic simulations using GPM™ and Petrel™: Application in shallow marine depositional settings",2021,"Geoscientific Model Development",14,"4",,2075,2095,,,10.5194/gmd-14-2075-2021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104758933&partnerID=40&md5=795c1b4f3202fe5c1a25238ee87b40c9",Article,Final,Open Access,Scopus,2-s2.0-85104758933
"Chen, D.D., Lim, W.S., Bakhshalipour, M., Gibbons, P.B., Hoe, J.C., Parno, B.","57216221493; 57223091434; 57196193002; 7101919649; 6603687592; 57203245130","HerQules: Securing programs via hardware-enforced message queues",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS",,"",,773,788,,,10.1145/3445814.3446736,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104811005&partnerID=40&md5=1cc3b1bac201c91f2872ae4c73d9a1e3",Conference Paper,Final,Open Access,Scopus,2-s2.0-85104811005
"Aleixo, G.F.P., Yu, H., Chen, Y.T., Nyrop, K.A., Louie, R.J., Deal, A.M., Shachar, S.S., Muss, H.B., Williams, G.R.","57202511582; 57221391034; 57218382802; 16646444100; 55901103900; 25924883500; 56986278800; 57220765148; 55303790200","Myosteatosis evaluation using erector spinae and psoas muscles to predict adverse events during adjuvant chemotherapy for breast cancer",2021,"Breast Cancer Research and Treatment",186,"2",,487,495,,,10.1007/s10549-020-06061-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099048383&partnerID=40&md5=334e8a443f7c43a9f90b95ade77500a2",Article,Final,,Scopus,2-s2.0-85099048383
"Xing, W., Li, C., Chen, G., Huang, X., Chao, J., Massicotte, J., Xie, C.","55983407600; 57219056812; 57207297375; 57217586201; 56706891100; 56731257600; 41461929600","Automatic Assessment of Students’ Engineering Design Performance Using a Bayesian Network Model",2021,"Journal of Educational Computing Research",59,"2",,230,256,,,10.1177/0735633120960422,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091452576&partnerID=40&md5=cbbd7dfb4701b54cee4b4a583f82309b",Article,Final,,Scopus,2-s2.0-85091452576
"Atkinson, K.D., Nobles, C.J., Kanner, J., Männistö, T., Mendola, P.","57221257998; 14038014100; 57211073658; 22951302100; 56350568100","Does maternal race or ethnicity modify the association between maternal psychiatric disorders and preterm birth?",2021,"Annals of Epidemiology",56,"",,34,39.e2,,,10.1016/j.annepidem.2020.10.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098647184&partnerID=40&md5=f523040c4dd998859216a14dbbadeae1",Article,Final,,Scopus,2-s2.0-85098647184
"Pfail, J.L., Katims, A.B., Gul, Z., Rosenzweig, S.J., Razdan, S., Nathaniel, S., Martini, A., Mehrazin, R., Wiklund, P.N., Loftus, K., Sim, A., DeMaria, S., Sfakianos, J.P.","16424319800; 56913468600; 57204774390; 57204510166; 55769879300; 57219099307; 57162296600; 23019336300; 35303958500; 57212171177; 55177843500; 57195616476; 23009898000","Can anesthetics affect bladder cancer recurrence? Total intravenous versus volatile anesthesia in patients undergoing robot-assisted radical cystectomy: A single institution retrospective analysis",2021,"Urologic Oncology: Seminars and Original Investigations",39,"4",,233.e1,233.e8,,,10.1016/j.urolonc.2020.08.024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091204534&partnerID=40&md5=aaadf8a127ef1b3a83a46c97be264698",Article,Final,,Scopus,2-s2.0-85091204534
"Patel, A.K., Pan, X., Vila, D.M., Frankel, W.L., Chen, W., Perry, K.A., Merritt, R.E., D'Souza, D.M., Wuthrick, E.J., Williams, T.M.","57200441869; 13005873700; 57203483611; 7006259709; 57191900144; 24341826500; 7103047699; 57199728436; 38962258200; 35453887700","Perineural invasion predicts for locoregional failure in patients with oesophageal adenocarcinoma treated with neoadjuvant chemoradiotherapy",2021,"Journal of Clinical Pathology",74,"4",,228,233,,,10.1136/jclinpath-2020-206424,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083778591&partnerID=40&md5=3fdbe2382a5eaa5105acd17659178fa1",Article,Final,,Scopus,2-s2.0-85083778591
"Daltro, D.D.S., Negri, R., Cobuci, J.A.","57191336680; 56927960700; 54790577500","Heterosis effects on 305-day milk yield in a Girolando dairy cattle population in different lactation orders",2021,"Livestock Science",245,"", 104428,,,,,10.1016/j.livsci.2021.104428,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100663005&partnerID=40&md5=0043a86f017adf4cf6fefe47b02c9281",Article,Final,,Scopus,2-s2.0-85100663005
"Kotov, A., Heidemann, F., Kuchenbecker, J., Peters, F., Marschall, U., Acar, L., Debus, E.S., L'Hoest, H., Behrendt, C.-A.","57220815835; 56419843700; 57214225225; 57211919215; 15051047300; 57218370722; 22979327800; 55790054000; 57192952920","Sex Disparities in Long Term Outcomes After Open Surgery for Chronic Limb Threatening Ischaemia: A Propensity Score Matched Analysis of Health Insurance Claims",2021,"European Journal of Vascular and Endovascular Surgery",61,"3",,423,429,,1,10.1016/j.ejvs.2020.11.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097663329&partnerID=40&md5=4fc43798d15fff5d0833ffb7a318e103",Article,Final,Open Access,Scopus,2-s2.0-85097663329
"Yamamoto, H., Kihara, Y., Fujimoto, S., Daida, H., Kobuke, K., Iwanaga, Y., Miyazaki, S., Kawasaki, T., Fujii, T., Kuribayashi, S.","55628547295; 57074485200; 8590866500; 7006790006; 57204865839; 55765746900; 35412759000; 7402152267; 57210427909; 26643259500","Predictive value of the coronary artery calcium score and advanced plaque characteristics: Post hoc analysis of the PREDICT registry",2021,"Journal of Cardiovascular Computed Tomography",15,"2",,148,153,,1,10.1016/j.jcct.2020.06.198,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089518770&partnerID=40&md5=f6d2af5abb7cfc1f2b6c2c549ce64542",Article,Final,Open Access,Scopus,2-s2.0-85089518770
"Frew, J.W., Jiang, C.S., Singh, N., Grand, D., Navrazhina, K., Vaughan, R., Krueger, J.G.","35078289200; 57218671725; 57214659190; 57211977349; 36119231900; 7201481850; 7201666842","Dermal tunnels influence time to clinical response and family history influences time to loss of clinical response in patients with hidradenitis suppurativa treated with adalimumab",2021,"Clinical and Experimental Dermatology",46,"2",,306,313,,2,10.1111/ced.14448,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093531231&partnerID=40&md5=3c26163c40b39255b5f5635d13de15f0",Article,Final,,Scopus,2-s2.0-85093531231
"Poghosyan, A., Harutyunyan, A., Grigoryan, N., Pang, C., Oganesyan, G., Ghazaryan, S., Hovhannisyan, N.","55946421800; 57200866782; 35147909400; 57222141212; 57222141518; 57222134493; 57211291519","An enterprise time series forecasting system for cloud applications using transfer learning",2021,"Sensors",21,"5", 1590,1,28,,,10.3390/s21051590,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101660512&partnerID=40&md5=57ea12f749a290fd6f0bf40bffd477f4",Article,Final,Open Access,Scopus,2-s2.0-85101660512
"Gregory, B.R.B., Patterson, R.T., Galloway, J.M., Reinhardt, E.G.","56572301000; 57221481688; 8632709300; 7005672690","The impact of cyclical, multi-decadal to centennial climate variability on arsenic sequestration in lacustrine sediments",2021,"Palaeogeography, Palaeoclimatology, Palaeoecology",565,"", 110189,,,,1,10.1016/j.palaeo.2020.110189,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099227155&partnerID=40&md5=e8c4b8eba4d2fcce669b3824063cf0dd",Article,Final,,Scopus,2-s2.0-85099227155
"Ben Abdallah, K., Souissi, S., Essaib, H., Ghomari, S.","57209439239; 56835348100; 57222377570; 56369283900","Hasdrubal Field, Tunisia: geomechanical integrity study",2021,"Arabian Journal of Geosciences",14,"6", 444,,,,,10.1007/s12517-021-06564-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102537500&partnerID=40&md5=4c68ac95c0f74035f5241e10cf6c2d5c",Article,Final,,Scopus,2-s2.0-85102537500
"Santini, D., Stellato, M., De Giorgi, U., Pantano, F., De Lisi, D., Casadei, C., Maruzzo, M., Bimbatti, D., Naglieri, E., Buti, S., Bersanelli, M., De Vivo, R., Di Lorenzo, G., Sbrana, A., Verzoni, E., Soraru', M., Fornarini, G., Mucciarini, C., Grillone, F., Mini, E., Vignani, F., Attademo, L., Pignata, S., Procopio, G.","7103292874; 57201995363; 57201019208; 12243084600; 56538538000; 56311360700; 36133683300; 56471786200; 6602422998; 55883521400; 49963037300; 6601925320; 7006525054; 57191076451; 13006377000; 57222167950; 6508256873; 23567010300; 8501723900; 7005498628; 35390212800; 56288987100; 7004271576; 6602232291","Clinical Outcomes of Metastatic Renal Carcinoma following Disease Progression to Programmed Death (PD)-1 or PD-L1 Inhibitors (IO): A Meet-URO Group Real World Study (Meet-Uro 7)",2021,"American Journal of Clinical Oncology: Cancer Clinical Trials",44,"3",,121,125,,,10.1097/COC.0000000000000791,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101735961&partnerID=40&md5=38c4a6f41fb7026045f88dacae110b06",Article,Final,,Scopus,2-s2.0-85101735961
"Li, Q., Zhu, S., Liu, S., Zhang, G., Li, X.","57218554734; 57210365691; 57196328825; 57193926754; 8677715800","Limited Lymph Node Resection Does Not Decrease Postoperative Mortality After Esophagectomy in Octogenarians With Thoracic Esophageal Cancer",2021,"Journal of Surgical Research",259,"",,538,545,,,10.1016/j.jss.2020.10.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095589453&partnerID=40&md5=bb97ba12c5e345ec511fecdb2bcf8d06",Article,Final,,Scopus,2-s2.0-85095589453
"Kumar, A., Sivak Kumar, M., Namdeo, V.","56566944500; 57223044305; 56805176900","A regression-based hybrid machine learning technique to enhance the database migration in cloud environment",2021,"Proceedings - IEEE 2021 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2021",,"", 9397123,149,155,,,10.1109/ICCCIS51004.2021.9397123,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104614223&partnerID=40&md5=657cd3e0492585524a70bf372198d3c6",Conference Paper,Final,,Scopus,2-s2.0-85104614223
"Drakoulogkonas, P., Apostolou, D.","57215662967; 8703209000","On the selection of process mining tools",2021,"Electronics (Switzerland)",10,"4", 451,1,24,,,10.3390/electronics10040451,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101167292&partnerID=40&md5=751a9734d3981f95c91b4a3c6b5aa8a3",Article,Final,Open Access,Scopus,2-s2.0-85101167292
"Rezaei, M., Reza, S., Farnia, V., Rahmani, S.","12239769400; 57222902193; 25824792400; 57222386778","Recurrent events model application in determining the risk factors of bipolar disorder recurrence",2021,"Iranian Journal of Psychiatry",16,"1",,68,75,,,10.18502/ijps.v16i1.5381,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104187752&partnerID=40&md5=6366353782a4b82965b2bda8c09e663a",Article,Final,Open Access,Scopus,2-s2.0-85104187752
"Koo, J., Chung, C., Arvind, Lee, S.","57208393519; 57188960281; 55128236200; 57221453601","A Case for Application-Managed Flash",2021,"IEEE Transactions on Computers",70,"2", 9067076,240,254,,,10.1109/TC.2020.2987569,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083718775&partnerID=40&md5=997cab915a2306b6b946ee1421429d72",Article,Final,,Scopus,2-s2.0-85083718775
"Utena, Y., Takatsu, J., Sugimoto, S., Sasai, K.","57221413877; 57221420087; 57221420006; 57221315019","Trajectory log analysis and cone-beam CT-based daily dose calculation to investigate the dosimetric accuracy of intensity-modulated radiotherapy for gynecologic cancer",2021,"Journal of Applied Clinical Medical Physics",22,"2",,108,117,,,10.1002/acm2.13163,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099093102&partnerID=40&md5=14fe47e893e194769a53ac455794ae7f",Article,Final,Open Access,Scopus,2-s2.0-85099093102
"Yuan, M., Singer, M.R., Moore, L.L.","57218338159; 7401655125; 7401847446","Yogurt consumption is associated with lower levels of chronic inflammation in the Framingham offspring study",2021,"Nutrients",13,"2", 506,1,13,,,10.3390/nu13020506,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100239314&partnerID=40&md5=efd108ef31d20daf5f509c1d27448fb6",Article,Final,Open Access,Scopus,2-s2.0-85100239314
"Urmeneta Ulloa, J., Pozo Osinalde, E., Rodríguez-Hernández, J.L., Martínez Fernández, H., Islas, F., de Agustín, A., Marcos-Alberca, P., Mahía, P., Cobos, M.Á., Hernández Mateo, P., Cabrera, J.Á., Luaces Méndez, M., Gómez de Diego, J.J., Bustos, A., Macaya, C., Pérez de Isla, L.","57189520552; 36129727900; 57193055539; 57214130441; 55787000400; 35067906600; 6603501824; 24463391200; 6603526105; 56974450000; 7202882405; 7801546909; 9639653600; 7004619724; 57209227786; 6701463383","Myocardial strain in nonischemic dilated cardiomyopathy with feature tracking. Feasibility and prognostic implications | Deformación miocárdica en miocardiopatía dilatada no isquémica mediante feature tracking. Factibilidad e implicaciones pronósticas",2021,"Revista Espanola de Cardiologia",74,"2",,159,166,,,10.1016/j.recesp.2019.12.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078270536&partnerID=40&md5=483d5bde8a6e330d8a84f76851650aed",Article,Final,,Scopus,2-s2.0-85078270536
"Migliorini, F., Trivellas, A., Eschweiler, J., Driessen, A., Tingart, M., Maffulli, N.","55935927900; 57057716300; 24376071000; 23501272900; 7003601633; 55663198300","NSAIDs for Prophylaxis for Heterotopic Ossification After Total Hip Arthroplasty: A Bayesian Network Meta-analysis",2021,"Calcified Tissue International",108,"2",,196,206,,,10.1007/s00223-020-00763-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092536831&partnerID=40&md5=04d1c718437c89f34695bd60fb292698",Article,Final,Open Access,Scopus,2-s2.0-85092536831
"Mammana, M., Bergamo, F., Procaccio, L., Schiavon, M., Loupakis, F., Lonardi, S., Manai, C., Schirripa, M., Fassan, M., Dei Tos, A.P., Calabrese, F., Rea, F., Zagonel, V.","57189249213; 24079621100; 57193131460; 23493430000; 23389858900; 7003773949; 55140900400; 37017394600; 20733941800; 57202570022; 7005767347; 7005959306; 7004945107","Outcome of patients with colorectal cancer undergoing lung metastases resection: a single-institution retrospective analysis",2021,"Tumori",107,"1",,46,54,,1,10.1177/0300891620930793,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087009021&partnerID=40&md5=ea82aa1288f1fba7803a77cb1f14b45c",Article,Final,,Scopus,2-s2.0-85087009021
"Xu, G., Wu, H., Xu, Y., Zhang, Y., Lin, F., Baklaushev, V.P., Chekhonin, V.P., Peltzer, K., Wang, X., Mao, M., Wang, G., Cui, P., Zhang, C.","55844840800; 57189045305; 57198773947; 57210389911; 57205716264; 6506382164; 7004985404; 57202975448; 57208310644; 56599899900; 36669598500; 56084964800; 56106489600","Homogenous and Heterogenous Prognostic Factors for Patients with Bone Sarcoma",2021,"Orthopaedic Surgery",13,"1",,134,144,,,10.1111/os.12851,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097415584&partnerID=40&md5=7f2db0e607af9de1d4fdcd7a9fd0cba2",Article,Final,Open Access,Scopus,2-s2.0-85097415584
"Khraishah, H., Alahmad, B., Alfaddagh, A., Jeong, S.Y., Mathenge, N., Kassab, M.B., Kolte, D., Michos, E.D., Albaghdadi, M.","56491184300; 57205560059; 55208181600; 57221909347; 55487238300; 57211316300; 26321613900; 6506845117; 37661072800","Sex disparities in the presentation, management and outcomes of patients with acute coronary syndrome: insights from the ACS QUIK trial",2021,"Open Heart",8,"1", 001470,,,,1,10.1136/openhrt-2020-001470,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100578408&partnerID=40&md5=0cb13c08bbaefe2cee4ab09aa29fa430",Article,Final,Open Access,Scopus,2-s2.0-85100578408
"Kang, N., Fang, Y., Zhu, H., Shi, Z., Chen, L., Lu, Y., Wang, H., Lu, J., Liu, W., Hu, K.","57205668047; 57193316735; 57222016460; 57222017907; 57222016036; 57209875124; 57222023979; 57192951760; 7408468603; 57201940903","Prognostic Value of CT Imaging-Based Tumor Volume in Patients With Non-Surgical Esophageal Squamous Cell Carcinoma",2021,"Frontiers in Oncology",10,"", 602681,,,,,10.3389/fonc.2020.602681,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101043703&partnerID=40&md5=5d96b68c578f65f28ecd1c0bdbb4412b",Article,Final,Open Access,Scopus,2-s2.0-85101043703
"Taymouri, F., Rosa, M.L., Dumas, M., Maggi, F.M.","57191430817; 57219108404; 7201354798; 35318465800","Business process variant analysis: Survey and classification",2021,"Knowledge-Based Systems",211,"", 106557,,,,,10.1016/j.knosys.2020.106557,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094819148&partnerID=40&md5=f2486eebc78c98104721fb707e3eb706",Article,Final,Open Access,Scopus,2-s2.0-85094819148
"Shah, N.V., Patel, Y.S., Bhangaonkar, P.D.","57222024754; 57200305960; 57211711089","Assessing impact of climate change on rainfall patterns of Vadodara District, Gujarat, India",2021,"Journal of Physics: Conference Series",1714,"1", 012046,,,,,10.1088/1742-6596/1714/1/012046,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100971439&partnerID=40&md5=497675c33ec808cc863c2933872b50e2",Conference Paper,Final,Open Access,Scopus,2-s2.0-85100971439
"Raffety, J., Stone, B., Svacina, J., Woodahl, C., Cerny, T., Tisnovsky, P.","57220572907; 57220589660; 57204727883; 57220578301; 36164861100; 6504622006","Multi-source Log Clustering in Distributed Systems",2021,"Lecture Notes in Electrical Engineering",739 LNEE,"",,31,41,,,10.1007/978-981-33-6385-4_4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104790867&partnerID=40&md5=c94de57975c6cf91010e2e936f920f35",Conference Paper,Final,,Scopus,2-s2.0-85104790867
"Latzo, T.","57203224495","Efficient Fingerprint Matching for Forensic Event Reconstruction",2021,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",351,"",,98,120,,,10.1007/978-3-030-68734-2_6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102633247&partnerID=40&md5=609513326f5d2f61b05ef2bbfaa59254",Conference Paper,Final,Open Access,Scopus,2-s2.0-85102633247
"Yao, K., Sayagh, M., Shang, W., Hassan, A.E.","57203242836; 57188812459; 35093168200; 7402686972","Improving State-of-the-art Compression Techniques for Log Management Tools",2021,"IEEE Transactions on Software Engineering",,"",,,,,,10.1109/TSE.2021.3069958,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103767128&partnerID=40&md5=c650099a8b61ff0c1d8e40803eb7b832",Article,Article in Press,,Scopus,2-s2.0-85103767128
"Carrasquel, J.C., Chuburov, S.A., Lomazova, I.A.","57210883025; 57223091370; 6701413146","Pre-processing Network Messages of Trading Systems into Event Logs for Process Mining",2021,"Communications in Computer and Information Science",1288 CCIS,"",,88,100,,,10.1007/978-3-030-71472-7_7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104708293&partnerID=40&md5=dd9885bcb2b1e52343d0f3c3a0253516",Conference Paper,Final,,Scopus,2-s2.0-85104708293
"Nedelkoski, S., Bogatinovski, J., Acker, A., Cardoso, J., Kao, O.","57195837657; 57217014567; 57202301639; 55429578600; 7004362997","Self-supervised Log Parsing",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",12460 LNAI,"",,122,138,,,10.1007/978-3-030-67667-4_8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103257483&partnerID=40&md5=be51f1a060cea32514dccdeb43bc5f7c",Conference Paper,Final,,Scopus,2-s2.0-85103257483
"Shershakov, S.A.","56048275500","Multi-perspective Process Mining with Embedding Configurations into DB-Based Event Logs",2021,"Communications in Computer and Information Science",1288 CCIS,"",,68,80,,,10.1007/978-3-030-71472-7_5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104778552&partnerID=40&md5=3dcd80b1ef1568c47fb430c4fb5c3cd9",Conference Paper,Final,,Scopus,2-s2.0-85104778552
[No author name available],[No author name available],"5th International Conference on Software Testing, Machine Learning and Complex Process Analysis, TMPA 2019",2021,"Communications in Computer and Information Science",1288 CCIS,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104702213&partnerID=40&md5=e592ab64a0f6da9c31231f0031ee4598",Conference Review,Final,,Scopus,2-s2.0-85104702213
